Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OER,DER,PosPG,TotPos
204,Norfolk State,33,22,11,0.667,-3.47,-6.37,9,5,10,2,6,8,2501,2264,1332,876,1854,0.472,225,664,0.339,524,704,0.744,362,1185,424,234,122,434,598,113.2904512,102.5548107,66.8969697,2207.6
205,North Alabama,32,18,14,0.563,-8.22,-4.11,10,8,9,4,8,10,2396,2380,1295,872,1882,0.463,245,658,0.372,407,572,0.712,271,1098,372,187,96,357,536,109.0677349,108.3394028,68.65,2196.8
206,North Carolina,33,20,13,0.606,13.02,7.74,11,9,12,3,4,7,2514,2340,1345,866,1997,0.434,234,751,0.312,548,739,0.742,369,1304,397,177,128,355,555,110.3309049,102.6946371,69.04848485,2278.6
207,North Carolina A&T,32,13,19,0.406,-11.24,-3.8,8,10,8,5,4,10,2264,2362,1290,806,1931,0.417,261,785,0.332,391,574,0.681,300,1136,375,240,98,385,547,100.8193801,105.1834699,70.175,2245.6
208,North Carolina Central,30,18,12,0.6,-2.78,-5.97,10,4,13,1,4,10,2268,1977,1220,815,1737,0.469,221,614,0.36,417,594,0.702,328,1073,439,239,97,459,575,107.712766,93.8924772,70.18666667,2105.6
209,North Dakota,33,13,20,0.394,-7.14,-2.62,6,12,8,8,4,11,2380,2438,1330,858,1945,0.441,304,868,0.35,360,527,0.683,304,1101,394,146,88,378,522,106.7360301,109.3371603,67.56969697,2229.8
210,North Dakota State,33,16,17,0.485,-4.05,-1.6,11,7,9,4,5,10,2404,2414,1320,866,1904,0.455,247,735,0.336,425,597,0.712,281,1191,370,130,98,379,509,107.2831132,107.7293824,67.9030303,2240.8
211,North Florida,31,14,17,0.452,-6.58,-2.37,9,9,11,2,3,14,2363,2405,1260,837,1838,0.455,323,881,0.367,366,509,0.719,279,1058,405,154,120,378,435,110.3896104,112.3516771,69.0516129,2140.6
212,North Texas,33,26,7,0.788,9.47,1.6,16,4,12,2,9,3,2119,1839,1335,736,1687,0.436,238,679,0.351,409,545,0.75,359,1111,367,209,97,392,542,109.3395253,94.89164087,58.72727273,1938
213,Northeastern,30,10,20,0.333,-10.37,-4,6,12,6,6,3,12,1959,2150,1210,712,1704,0.418,211,635,0.332,324,473,0.685,331,1081,377,149,123,432,500,98.23488116,107.8126567,66.47333333,1994.2
214,Northern Arizona,35,12,23,0.343,-3.72,-0.05,5,13,6,8,3,13,2581,2615,1420,930,2123,0.438,295,815,0.362,426,576,0.74,354,1189,484,185,53,378,649,108.5639775,109.9941112,67.92571429,2377.4
215,Northern Colorado,32,12,20,0.375,-4.28,-0.28,6,12,6,7,3,12,2355,2480,1290,826,1843,0.448,265,741,0.358,438,588,0.745,263,1068,363,147,54,382,596,107.1818678,112.8709266,68.6625,2197.2
